0.016667 0.016667 0.666667 20 20
20
 6.2  0.0
 11.5  3.7  0 
 1.1  9.1  0 
 1.5  7.1  0 
 0.1  1.5  0 
 7.0  2.0  0 
 3.2  9.0  0 
 0.4  7.5  1 
 0.4  12.3  0 
 1.1  5.7  0 
 6.1  2.3  0 
 5.0  0.9  0 
 10.2  0.6  1 
 2.5  11.3  0 
 3.6  5.7  0 
 1.1  11.9  0 
 5.1  1.4  0 
 9.2  1.9  0 
 9.3  1.2  0 
 3.1  6.5  1 
 6.0  1.8  0 
 6.2  0.0
0 0 0.0
0 1 21.61491555278628
0 2 33.97689623797936
0 3 28.19498195901323
0 4 18.24939158706836
0 5 6.77209326942621
0 6 28.88336567554419
0 7 31.92076447442874
0 8 43.46800642290081
0 9 25.79406999551216
0 10 6.147361875129035
0 11 5.06920864289903
0 12 11.1382806905216
0 13 35.95343483938472
0 14 19.93193301204292
0 15 40.8028969292459
0 16 6.004598921877692
0 17 11.80337899924292
0 18 10.41106358424732
0 19 22.90918075116151
0 20 4.875895081342772
0 21 0.0
1 0 21.61491555278628
1 1 0.0
1 2 37.83181179076564
1 3 32.04989751179951
1 4 32.610478697763
1 5 14.84282228336007
1 6 32.73828122833048
1 7 35.77568002721502
1 8 47.32292197568709
1 9 29.64898554829844
1 10 16.39250840970233
1 11 22.36412419568531
1 12 10.47663486226468
1 13 39.808350392171
1 14 23.7868485648292
1 15 44.65781248203218
1 16 20.89951447466397
1 17 9.811536553543368
1 18 11.20385196853896
1 19 26.7640963039478
1 20 17.66397520348859
1 21 21.61491555278628
2 0 33.97689623797936
2 1 37.83181179076564
2 2 0.0
2 3 5.781914278966131
2 4 20.527504650911
2 5 31.14898950740557
2 6 5.295307181478477
2 7 5.41613176355062
2 8 9.491110184921444
2 9 8.662826242467206
2 10 28.15930338106332
2 11 28.90768759508033
2 12 42.23517692850096
2 13 8.696538601405354
2 14 14.04496322593644
2 15 7.306000691266533
2 16 27.97229731610167
2 17 36.66027523722228
2 18 38.62795982222669
2 19 11.06771548681785
2 20 29.28783658727706
2 21 33.97689623797936
3 0 28.19498195901323
3 1 32.04989751179951
3 2 5.781914278966131
3 3 0.0
3 4 16.66559037194487
3 5 25.36707522843944
3 6 8.848383716530961
3 7 3.725782515415512
3 8 15.27302446388757
3 9 4.320911963501074
3 10 22.37738910209719
3 11 23.1257733161142
3 12 36.45326264953484
3 13 12.55845288037149
3 14 8.26304894697031
3 15 12.60791497023266
3 16 22.19038303713554
3 17 30.87836095825615
